name,link,category,subcategory,price,size,condition,color,views,interested
Giacca Bianca,https://www.vinted.fr/femmes/vetements/blazers-and-tailleurs-532/2916202895-giacca-bianca,Blazers et tailleurs,Blazers,10.0,TAILLE UNIQUE,3,"BLANC, CRÈME",122,0.0
jean évasé,https://www.vinted.fr/femmes/vetements/jeans/jeans-evases/2821020313-jean-evase,Jeans,Jeans évasés,5.0,XS / 34 / 6,4,"BLEU, BLEU CLAIR",38,1.0
Veste courte,https://www.vinted.fr/femmes/vetements/blazers-and-tailleurs-532/2915721943-veste-courte,Blazers et tailleurs,Blazers,34.0,S / 36 / 8,5,BLEU,332,1.0
Veste velours Zara,https://www.vinted.fr/femmes/vetements/manteaux-and-vestes/vestes/vestes-chemises/2914091303-veste-velours-zara,Vestes,Vestes chemises,6.0,XXXL / 46 / 18,1,KAKI,110,0.0
Boucles zara créoles pièces,https://www.vinted.fr/femmes/accessoires/bijoux/boucles-doreilles/2909232477-boucles-zara-creoles-pieces,Bijoux,Boucles d'oreilles,10.0,,3,DORÉ,163,13.0
Gilet en jean sans manche Zara,https://www.vinted.fr/femmes/vetements/manteaux-and-vestes/vestes-sans-manches/2915276959-gilet-en-jean-sans-manche-zara,Manteaux et vestes,Vestes sans manches,15.0,S / 36 / 8,5,"BLEU, BLEU CLAIR",138,3.0
Bolso saco tachuelas negro mujer Zara,https://www.vinted.fr/mujer/bolsos/bolsos-de-hombro/2912598206-bolso-saco-tachuelas-negro-mujer-zara,Sacs,Sacs à bandoulière,18.0,,2,NOIR,464,54.0
Blouse zara,https://www.vinted.fr/enfants/filles/chemises-and-t-shirts/autre/2906122874-blouse-zara,Chemises & t-shirts,Autre,5.0,14 ANS / 158-164 CM,3,BLANC,53,0.0
Boucles zara effet soleil,https://www.vinted.fr/femmes/accessoires/bijoux/boucles-doreilles/2910276865-boucles-zara-effet-soleil,Bijoux,Boucles d'oreilles,10.0,,3,DORÉ,96,9.0
Chaqueta efecto piel oversize zara,https://www.vinted.fr/femmes/vetements/manteaux-and-vestes/vestes/blousons-aviateur/2907020987-chaqueta-efecto-piel-oversize-zara,Vestes,Blousons aviateur,38.0,L / 40 / 12,5,NOIR,292,24.0
Precioso vestido floreado,https://www.vinted.fr/mujer/ropa/vestidos/midi/2857902661-precioso-vestido-floreado,Robes,Midi,4.0,M / 38 / 10,3,MULTICOLORE,500,0.0
robe longue maille,https://www.vinted.fr/femmes/vetements/robes/autres-robes/2884218488-robe-longue-maille,Robes,Autres robes,10.0,S / 36 / 8,3,NOIR,148,4.0
Petit gilet rouge en laine Zara,https://www.vinted.fr/femmes/vetements/sweats-and-sweats-a-capuche/cardigans/2838804618-petit-gilet-rouge-en-laine-zara,Sweats et sweats à capuche,Cardigans,12.0,L / 40 / 12,3,ROUGE,59,9.0
Manteau zara moutarde,https://www.vinted.fr/femmes/vetements/manteaux-and-vestes/manteaux/pardessus-et-manteaux-longs/2910820364-manteau-zara-moutarde,Manteaux,Pardessus et manteaux longs,8.0,XS / 34 / 6,3,MOUTARDE,130,1.0
Ensemble Zara,https://www.vinted.fr/enfants/garcons/bebe-garcon/ensembles/2917646996-ensemble-zara,Bébé garçons,Ensembles,8.0,18-24 MOIS / 86-92 CM,4,"NOIR, BLEU CLAIR",34,0.0
Chaleco Zara,https://www.vinted.fr/femmes/vetements/manteaux-and-vestes/vestes-sans-manches/2879700868-chaleco-zara,Manteaux et vestes,Vestes sans manches,10.0,S / 36 / 8,4,MULTICOLORE,168,18.0
Giacca Bianca,https://www.vinted.fr/femmes/vetements/blazers-and-tailleurs-532/2916202895-giacca-bianca,Blazers et tailleurs,Blazers,10.0,TAILLE UNIQUE,3,"BLANC, CRÈME",123,0.0
jean évasé,https://www.vinted.fr/femmes/vetements/jeans/jeans-evases/2821020313-jean-evase,Jeans,Jeans évasés,5.0,XS / 34 / 6,4,"BLEU, BLEU CLAIR",38,1.0
Veste courte,https://www.vinted.fr/femmes/vetements/blazers-and-tailleurs-532/2915721943-veste-courte,Blazers et tailleurs,Blazers,34.0,S / 36 / 8,5,BLEU,343,1.0
Veste velours Zara,https://www.vinted.fr/femmes/vetements/manteaux-and-vestes/vestes/vestes-chemises/2914091303-veste-velours-zara,Vestes,Vestes chemises,6.0,XXXL / 46 / 18,1,KAKI,113,0.0
Boucles zara créoles pièces,https://www.vinted.fr/femmes/accessoires/bijoux/boucles-doreilles/2909232477-boucles-zara-creoles-pieces,Bijoux,Boucles d'oreilles,10.0,,3,DORÉ,167,13.0
Gilet en jean sans manche Zara,https://www.vinted.fr/femmes/vetements/manteaux-and-vestes/vestes-sans-manches/2915276959-gilet-en-jean-sans-manche-zara,Manteaux et vestes,Vestes sans manches,15.0,S / 36 / 8,5,"BLEU, BLEU CLAIR",140,3.0
Bolso saco tachuelas negro mujer Zara,https://www.vinted.fr/mujer/bolsos/bolsos-de-hombro/2912598206-bolso-saco-tachuelas-negro-mujer-zara,Sacs,Sacs à bandoulière,18.0,,2,NOIR,466,54.0
Blouse zara,https://www.vinted.fr/enfants/filles/chemises-and-t-shirts/autre/2906122874-blouse-zara,Chemises & t-shirts,Autre,5.0,14 ANS / 158-164 CM,3,BLANC,54,0.0
Boucles zara effet soleil,https://www.vinted.fr/femmes/accessoires/bijoux/boucles-doreilles/2910276865-boucles-zara-effet-soleil,Bijoux,Boucles d'oreilles,10.0,,3,DORÉ,97,9.0
Chaqueta efecto piel oversize zara,https://www.vinted.fr/femmes/vetements/manteaux-and-vestes/vestes/blousons-aviateur/2907020987-chaqueta-efecto-piel-oversize-zara,Vestes,Blousons aviateur,38.0,L / 40 / 12,5,NOIR,293,24.0
Precioso vestido floreado,https://www.vinted.fr/mujer/ropa/vestidos/midi/2857902661-precioso-vestido-floreado,Robes,Midi,4.0,M / 38 / 10,3,MULTICOLORE,502,0.0
robe longue maille,https://www.vinted.fr/femmes/vetements/robes/autres-robes/2884218488-robe-longue-maille,Robes,Autres robes,10.0,S / 36 / 8,3,NOIR,149,4.0
Petit gilet rouge en laine Zara,https://www.vinted.fr/femmes/vetements/sweats-and-sweats-a-capuche/cardigans/2838804618-petit-gilet-rouge-en-laine-zara,Sweats et sweats à capuche,Cardigans,12.0,L / 40 / 12,3,ROUGE,61,9.0
Manteau zara moutarde,https://www.vinted.fr/femmes/vetements/manteaux-and-vestes/manteaux/pardessus-et-manteaux-longs/2910820364-manteau-zara-moutarde,Manteaux,Pardessus et manteaux longs,8.0,XS / 34 / 6,3,MOUTARDE,131,1.0
Ensemble Zara,https://www.vinted.fr/enfants/garcons/bebe-garcon/ensembles/2917646996-ensemble-zara,Bébé garçons,Ensembles,8.0,18-24 MOIS / 86-92 CM,4,"NOIR, BLEU CLAIR",35,0.0
Chaleco Zara,https://www.vinted.fr/femmes/vetements/manteaux-and-vestes/vestes-sans-manches/2879700868-chaleco-zara,Manteaux et vestes,Vestes sans manches,10.0,S / 36 / 8,4,MULTICOLORE,169,18.0
Giacca Bianca,https://www.vinted.fr/femmes/vetements/blazers-and-tailleurs-532/2916202895-giacca-bianca,Blazers et tailleurs,Blazers,10.0,TAILLE UNIQUE,3,"BLANC, CRÈME",127,0.0
jean évasé,https://www.vinted.fr/femmes/vetements/jeans/jeans-evases/2821020313-jean-evase,Jeans,Jeans évasés,5.0,XS / 34 / 6,4,"BLEU, BLEU CLAIR",39,1.0
Veste courte,https://www.vinted.fr/femmes/vetements/blazers-and-tailleurs-532/2915721943-veste-courte,Blazers et tailleurs,Blazers,34.0,S / 36 / 8,5,BLEU,347,1.0
Veste velours Zara,https://www.vinted.fr/femmes/vetements/manteaux-and-vestes/vestes/vestes-chemises/2914091303-veste-velours-zara,Vestes,Vestes chemises,6.0,XXXL / 46 / 18,1,KAKI,115,0.0
Boucles zara créoles pièces,https://www.vinted.fr/femmes/accessoires/bijoux/boucles-doreilles/2909232477-boucles-zara-creoles-pieces,Bijoux,Boucles d'oreilles,10.0,,3,DORÉ,169,13.0
Gilet en jean sans manche Zara,https://www.vinted.fr/femmes/vetements/manteaux-and-vestes/vestes-sans-manches/2915276959-gilet-en-jean-sans-manche-zara,Manteaux et vestes,Vestes sans manches,15.0,S / 36 / 8,5,"BLEU, BLEU CLAIR",142,3.0
Bolso saco tachuelas negro mujer Zara,https://www.vinted.fr/mujer/bolsos/bolsos-de-hombro/2912598206-bolso-saco-tachuelas-negro-mujer-zara,Sacs,Sacs à bandoulière,18.0,,2,NOIR,471,54.0
Blouse zara,https://www.vinted.fr/enfants/filles/chemises-and-t-shirts/autre/2906122874-blouse-zara,Chemises & t-shirts,Autre,5.0,14 ANS / 158-164 CM,3,BLANC,55,0.0
Boucles zara effet soleil,https://www.vinted.fr/femmes/accessoires/bijoux/boucles-doreilles/2910276865-boucles-zara-effet-soleil,Bijoux,Boucles d'oreilles,10.0,,3,DORÉ,97,9.0
Chaqueta efecto piel oversize zara,https://www.vinted.fr/femmes/vetements/manteaux-and-vestes/vestes/blousons-aviateur/2907020987-chaqueta-efecto-piel-oversize-zara,Vestes,Blousons aviateur,38.0,L / 40 / 12,5,NOIR,294,24.0
Precioso vestido floreado,https://www.vinted.fr/mujer/ropa/vestidos/midi/2857902661-precioso-vestido-floreado,Robes,Midi,4.0,M / 38 / 10,3,MULTICOLORE,503,0.0
robe longue maille,https://www.vinted.fr/femmes/vetements/robes/autres-robes/2884218488-robe-longue-maille,Robes,Autres robes,10.0,S / 36 / 8,3,NOIR,151,4.0
Petit gilet rouge en laine Zara,https://www.vinted.fr/femmes/vetements/sweats-and-sweats-a-capuche/cardigans/2838804618-petit-gilet-rouge-en-laine-zara,Sweats et sweats à capuche,Cardigans,12.0,L / 40 / 12,3,ROUGE,61,9.0
Manteau zara moutarde,https://www.vinted.fr/femmes/vetements/manteaux-and-vestes/manteaux/pardessus-et-manteaux-longs/2910820364-manteau-zara-moutarde,Manteaux,Pardessus et manteaux longs,8.0,XS / 34 / 6,3,MOUTARDE,131,1.0
Ensemble Zara,https://www.vinted.fr/enfants/garcons/bebe-garcon/ensembles/2917646996-ensemble-zara,Bébé garçons,Ensembles,8.0,18-24 MOIS / 86-92 CM,4,"NOIR, BLEU CLAIR",35,0.0
Chaleco Zara,https://www.vinted.fr/femmes/vetements/manteaux-and-vestes/vestes-sans-manches/2879700868-chaleco-zara,Manteaux et vestes,Vestes sans manches,10.0,S / 36 / 8,4,MULTICOLORE,171,18.0
Giacca Bianca,https://www.vinted.fr/femmes/vetements/blazers-and-tailleurs-532/2916202895-giacca-bianca,Blazers et tailleurs,Blazers,10.0,TAILLE UNIQUE,3,"BLANC, CRÈME",128,0.0
jean évasé,https://www.vinted.fr/femmes/vetements/jeans/jeans-evases/2821020313-jean-evase,Jeans,Jeans évasés,5.0,XS / 34 / 6,4,"BLEU, BLEU CLAIR",39,1.0
